"Deaths by crash type and state, 2013",,,,,,
State,Single-vehicle,,Multiple-vehicle,,All crashes,,,
,Number,%,Number,%,Number,%,
Alabama,501,59,351,41,852,100
Alaska,33,65,18,35,51,100
Arizona,499,59,350,41,849,100
Arkansas,291,60,192,40,483,100
California,"1,807",60,"1,193",40,"3,000",100
Colorado,276,57,205,43,481,100
Connecticut,161,58,115,42,276,100
Delaware,48,48,51,52,99,100
District of Columbia,13,65,7,35,20,100
Florida,"1,362",57,"1,045",43,"2,407",100
Georgia,698,59,481,41,"1,179",100
Hawaii,70,69,32,31,102,100
Idaho,136,64,78,36,214,100
Illinois,550,55,441,45,991,100
Indiana,417,53,366,47,783,100
Iowa,160,50,157,50,317,100
Kansas,200,57,150,43,350,100
Kentucky,350,55,288,45,638,100
Louisiana,395,56,308,44,703,100
Maine,90,62,55,38,145,100
Maryland,266,57,199,43,465,100
Massachusetts,209,64,117,36,326,100
Michigan,510,54,437,46,947,100
Minnesota,185,48,202,52,387,100
Mississippi,393,64,220,36,613,100
Missouri,448,59,309,41,757,100
Montana,157,69,72,31,229,100
Nebraska,121,57,90,43,211,100
Nevada,142,54,120,46,262,100
New Hampshire,83,61,52,39,135,100
New Jersey,308,57,234,43,542,100
New Mexico,193,62,117,38,310,100
New York,761,63,438,37,"1,199",100
North Carolina,731,57,558,43,"1,289",100
North Dakota,68,46,80,54,148,100
Ohio,547,55,442,45,989,100
Oklahoma,345,51,333,49,678,100
Oregon,186,59,127,41,313,100
Pennsylvania,655,54,553,46,"1,208",100
Rhode Island,42,65,23,35,65,100
South Carolina,469,61,298,39,767,100
South Dakota,73,54,62,46,135,100
Tennessee,551,55,444,45,995,100
Texas,"1,774",52,"1,608",48,"3,382",100
Utah,135,61,85,39,220,100
Vermont,44,64,25,36,69,100
Virginia,454,61,286,39,740,100
Washington,255,58,181,42,436,100
West Virginia,206,62,126,38,332,100
Wisconsin,283,52,260,48,543,100
Wyoming,50,57,37,43,87,100
U.S. total,"18,701",57,"14,018",43,"32,719",100
